Settlement Date,Settlement Period,Market Index Data Provider Id,Market Index Volume (MWh),Market Index Price
02/01/2016,33,APXMIDP ,988.8,41.75
02/01/2016,33,N2EXMIDP,0,0
02/01/2016,34,APXMIDP ,933.4,52.21
02/01/2016,34,N2EXMIDP,0,0
02/01/2016,35,APXMIDP ,621.2,56.79
02/01/2016,35,N2EXMIDP,0,0
02/01/2016,36,APXMIDP ,789.1,65.62
02/01/2016,36,N2EXMIDP,0,0
02/01/2016,37,APXMIDP ,574.25,53.97
02/01/2016,37,N2EXMIDP,0,0
02/01/2016,38,APXMIDP ,588.75,54.11
02/01/2016,38,N2EXMIDP,0,0
02/01/2016,39,APXMIDP ,888.4,44.69
02/01/2016,39,N2EXMIDP,0,0
02/01/2016,40,APXMIDP ,774.8,39.39
02/01/2016,40,N2EXMIDP,0,0
02/01/2016,41,APXMIDP ,767.7,38.16
02/01/2016,41,N2EXMIDP,0,0
02/01/2016,42,APXMIDP ,796.6,36.62
02/01/2016,42,N2EXMIDP,0,0
02/01/2016,43,APXMIDP ,1017.75,33.55
02/01/2016,43,N2EXMIDP,0,0
02/01/2016,44,APXMIDP ,1087.55,33.04
02/01/2016,44,N2EXMIDP,0,0
02/01/2016,45,APXMIDP ,1146.6,32.9
02/01/2016,45,N2EXMIDP,0,0
02/01/2016,46,APXMIDP ,1274.75,32.62
02/01/2016,46,N2EXMIDP,0,0
02/01/2016,47,APXMIDP ,1414.55,39.3
02/01/2016,47,N2EXMIDP,0,0
02/01/2016,48,APXMIDP ,1210.5,39.15
02/01/2016,48,N2EXMIDP,0,0
03/01/2016,1,APXMIDP ,1068,39.17
03/01/2016,1,N2EXMIDP,0,0
03/01/2016,2,APXMIDP ,1053.25,38.74
03/01/2016,2,N2EXMIDP,0,0
03/01/2016,3,APXMIDP ,698,39.01
03/01/2016,3,N2EXMIDP,0,0
03/01/2016,4,APXMIDP ,500.45,37.33
03/01/2016,4,N2EXMIDP,0,0
03/01/2016,5,APXMIDP ,466.45,35.97
03/01/2016,5,N2EXMIDP,0,0
03/01/2016,6,APXMIDP ,466.15,33.04
03/01/2016,6,N2EXMIDP,0,0
03/01/2016,7,APXMIDP ,502.75,25.04
03/01/2016,7,N2EXMIDP,0,0
03/01/2016,8,APXMIDP ,403.05,22.11
03/01/2016,8,N2EXMIDP,0,0
03/01/2016,9,APXMIDP ,412.95,20.02
03/01/2016,9,N2EXMIDP,0,0
03/01/2016,10,APXMIDP ,401,19.43
03/01/2016,10,N2EXMIDP,0,0
03/01/2016,11,APXMIDP ,447.5,19.81
03/01/2016,11,N2EXMIDP,0,0
03/01/2016,12,APXMIDP ,521.1,20.07
03/01/2016,12,N2EXMIDP,0,0
03/01/2016,13,APXMIDP ,531.2,20.18
03/01/2016,13,N2EXMIDP,0,0
03/01/2016,14,APXMIDP ,573.1,20.88
03/01/2016,14,N2EXMIDP,0,0
03/01/2016,15,APXMIDP ,576,24.52
03/01/2016,15,N2EXMIDP,0,0
03/01/2016,16,APXMIDP ,523.65,24.02
03/01/2016,16,N2EXMIDP,0,0
03/01/2016,17,APXMIDP ,613.75,25.18
03/01/2016,17,N2EXMIDP,0,0
03/01/2016,18,APXMIDP ,507.8,21.67
03/01/2016,18,N2EXMIDP,0,0
03/01/2016,19,APXMIDP ,836.15,29.56
03/01/2016,19,N2EXMIDP,0,0
03/01/2016,20,APXMIDP ,850.65,30.63
03/01/2016,20,N2EXMIDP,0,0
03/01/2016,21,APXMIDP ,742.2,31.62
03/01/2016,21,N2EXMIDP,0,0
03/01/2016,22,APXMIDP ,843.5,31.36
03/01/2016,22,N2EXMIDP,0,0
03/01/2016,23,APXMIDP ,909.25,32.15
03/01/2016,23,N2EXMIDP,0,0
03/01/2016,24,APXMIDP ,886.65,31.23
03/01/2016,24,N2EXMIDP,0,0
03/01/2016,25,APXMIDP ,691.75,31.35
03/01/2016,25,N2EXMIDP,0,0
03/01/2016,26,APXMIDP ,627.6,31.43
03/01/2016,26,N2EXMIDP,0,0
03/01/2016,27,APXMIDP ,620.7,32.4
03/01/2016,27,N2EXMIDP,0,0
03/01/2016,28,APXMIDP ,644.4,32.11
03/01/2016,28,N2EXMIDP,0,0
03/01/2016,29,APXMIDP ,536.1,32.17
03/01/2016,29,N2EXMIDP,0,0
03/01/2016,30,APXMIDP ,592.55,32.62
03/01/2016,30,N2EXMIDP,0,0
03/01/2016,31,APXMIDP ,1092.85,36.72
03/01/2016,31,N2EXMIDP,0,0
03/01/2016,32,APXMIDP ,1272.2,35.7
03/01/2016,32,N2EXMIDP,0,0
03/01/2016,33,APXMIDP ,919.7,40.42
03/01/2016,33,N2EXMIDP,0,0
03/01/2016,34,APXMIDP ,927.9,50.83
03/01/2016,34,N2EXMIDP,0,0
03/01/2016,35,APXMIDP ,844.95,52.09
03/01/2016,35,N2EXMIDP,0,0
03/01/2016,36,APXMIDP ,807.7,51.05
03/01/2016,36,N2EXMIDP,0,0
03/01/2016,37,APXMIDP ,773.6,48.6
03/01/2016,37,N2EXMIDP,0,0
03/01/2016,38,APXMIDP ,755.35,44.35
03/01/2016,38,N2EXMIDP,0,0
03/01/2016,39,APXMIDP ,770.7,35.61
03/01/2016,39,N2EXMIDP,0,0
03/01/2016,40,APXMIDP ,669.25,34.81
03/01/2016,40,N2EXMIDP,0,0
03/01/2016,41,APXMIDP ,395.7,32.46
03/01/2016,41,N2EXMIDP,0,0
03/01/2016,42,APXMIDP ,562.3,33.03
03/01/2016,42,N2EXMIDP,0,0
03/01/2016,43,APXMIDP ,756.55,32.3
03/01/2016,43,N2EXMIDP,0,0
03/01/2016,44,APXMIDP ,890.25,32.02
03/01/2016,44,N2EXMIDP,0,0
03/01/2016,45,APXMIDP ,911.55,31.42
03/01/2016,45,N2EXMIDP,0,0
03/01/2016,46,APXMIDP ,933.3,31.5
03/01/2016,46,N2EXMIDP,0,0
03/01/2016,47,APXMIDP ,527,32.61
03/01/2016,47,N2EXMIDP,0,0
03/01/2016,48,APXMIDP ,325.85,30.22
03/01/2016,48,N2EXMIDP,0,0
04/01/2016,1,APXMIDP ,355.1,30.21
04/01/2016,1,N2EXMIDP,0,0
04/01/2016,2,APXMIDP ,427,31.15
04/01/2016,2,N2EXMIDP,0,0
04/01/2016,3,APXMIDP ,436,32.92
04/01/2016,3,N2EXMIDP,0,0
04/01/2016,4,APXMIDP ,417.5,32.23
04/01/2016,4,N2EXMIDP,0,0
04/01/2016,5,APXMIDP ,389,31.98
04/01/2016,5,N2EXMIDP,0,0
04/01/2016,6,APXMIDP ,402.5,31.38
04/01/2016,6,N2EXMIDP,0,0
04/01/2016,7,APXMIDP ,311.7,28.07
04/01/2016,7,N2EXMIDP,0,0
04/01/2016,8,APXMIDP ,238.95,26.82
04/01/2016,8,N2EXMIDP,0,0
04/01/2016,9,APXMIDP ,244.25,27.08
04/01/2016,9,N2EXMIDP,0,0
04/01/2016,10,APXMIDP ,285.55,25.98
04/01/2016,10,N2EXMIDP,0,0
04/01/2016,11,APXMIDP ,608.5,27.64
04/01/2016,11,N2EXMIDP,0,0
04/01/2016,12,APXMIDP ,548.5,27.84
04/01/2016,12,N2EXMIDP,0,0
04/01/2016,13,APXMIDP ,735.65,30.76
04/01/2016,13,N2EXMIDP,0,0
04/01/2016,14,APXMIDP ,1426.25,33.44
04/01/2016,14,N2EXMIDP,0,0
04/01/2016,15,APXMIDP ,1074.9,34.9
04/01/2016,15,N2EXMIDP,0,0
04/01/2016,16,APXMIDP ,702.65,33.68
04/01/2016,16,N2EXMIDP,0,0
